system:index,date,lake_area_m2,.geo
20230107T045201_20230107T045159_T45RXL,2023-01-07,463154.6843723672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230109T044139_20230109T044620_T45RXL,2023-01-09,468538.71011098236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230117T045131_20230117T045127_T45RXL,2023-01-17,466156.0478290933,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230122T045109_20230122T045110_T45RXL,2023-01-22,462472.7927882177,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230124T044101_20230124T044838_T45RXL,2023-01-24,464833.8663706762,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230127T045051_20230127T045956_T45RXL,2023-01-27,451321.78686062695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230129T044039_20230129T044240_T45RXL,2023-01-29,476460.7582249063,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230201T045019_20230201T045022_T45RXL,2023-02-01,465895.92383922514,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230203T044011_20230203T044612_T45RXL,2023-02-03,473659.47715801175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230213T043911_20230213T044313_T45RXL,2023-02-13,451427.7436213476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230218T043839_20230218T044234_T45RXL,2023-02-18,458671.0397593481,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310T043709_20230310T044642_T45RXL,2023-03-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230407T044701_20230407T045514_T45RXL,2023-04-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230409T043709_20230409T044615_T45RXL,2023-04-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230412T044659_20230412T045110_T45RXL,2023-04-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230414T043701_20230414T044710_T45RXL,2023-04-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230417T044701_20230417T045910_T45RXL,2023-04-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231024T044841_20231024T045715_T45RXL,2023-10-24,423902.1802644319,"{""type"":""MultiPoint"",""coordinates"":[]}"
